12,26,159,R
103,255,236,Y
211,126,44,B
231,233,229,W
67,115,255,O
104,192,84,G
12,27,159,R
101,255,236,Y
212,126,45,B
230,233,229,W
70,115,255,O
103,192,83,G
12,26,159,R
101,255,235,Y
211,126,44,B
229,233,229,W
67,116,255,O
103,192,84,G
10,27,159,R
102,255,236,Y
212,126,45,B
229,233,230,W
67,116,255,O
104,192,84,G
11,27,158,R
101,255,236,Y
212,126,44,B
229,233,230,W
69,115,255,O
103,192,84,G
10,27,158,R
103,255,236,Y
211,126,44,B
230,233,229,W
66,116,255,O
104,191,84,G
10,27,158,R
101,255,235,Y
212,126,44,B
230,233,229,W
68,116,255,O
105,192,85,G
9,27,158,R
103,255,236,Y
213,125,45,B
229,233,229,W
67,116,255,O
102,192,84,G
10,27,159,R
101,255,235,Y
212,126,45,B
231,233,229,W
68,116,255,O
103,192,84,G
11,26,159,R
101,255,235,Y
212,126,45,B
229,233,229,W
68,116,255,O
102,192,84,G
10,27,158,R
99,255,236,Y
212,126,44,B
229,233,229,W
68,116,255,O
102,192,85,G
10,26,159,R
100,255,236,Y
212,126,44,B
230,233,229,W
68,115,255,O
103,192,84,G
10,26,159,R
101,255,236,Y
213,126,44,B
230,233,229,W
68,115,255,O
104,192,83,G
9,27,159,R
102,255,235,Y
212,126,44,B
230,233,229,W
67,115,255,O
103,192,84,G
13,26,158,R
102,255,235,Y
213,125,45,B
229,233,230,W
70,115,255,O
104,192,84,G
10,27,159,R
100,255,236,Y
212,125,45,B
230,233,230,W
68,115,255,O
103,192,84,G
9,27,159,R
101,255,235,Y
213,126,45,B
229,233,229,W
66,116,255,O
104,192,84,G
14,28,157,R
101,255,236,Y
212,126,46,B
230,233,230,W
69,115,255,O
104,191,85,G
9,27,158,R
101,255,235,Y
212,126,44,B
230,233,229,W
69,116,255,O
104,192,84,G
11,26,159,R
99,255,236,Y
212,125,45,B
230,233,229,W
69,115,255,O
105,192,84,G
10,27,158,R
101,255,236,Y
211,126,44,B
229,233,229,W
68,115,255,O
104,192,84,G
13,26,159,R
102,255,236,Y
212,126,44,B
229,233,228,W
68,115,255,O
104,192,84,G
10,27,158,R
102,255,236,Y
212,125,45,B
229,233,229,W
67,115,255,O
105,191,84,G
11,26,159,R
100,255,235,Y
211,125,44,B
230,233,229,W
67,116,255,O
105,192,84,G
12,26,159,R
103,255,236,Y
212,126,45,B
229,233,229,W
68,116,255,O
104,192,85,G
10,27,158,R
101,255,236,Y
211,125,45,B
229,233,229,W
68,115,255,O
104,192,84,G
11,27,159,R
101,255,236,Y
213,125,45,B
230,234,229,W
68,115,255,O
104,192,84,G
11,27,158,R
101,255,236,Y
211,126,45,B
229,234,229,W
67,116,255,O
104,192,84,G
10,27,159,R
101,255,236,Y
212,126,44,B
229,233,230,W
66,116,255,O
103,192,84,G
10,27,159,R
102,255,235,Y
211,126,45,B
230,233,229,W
68,115,255,O
104,192,84,G
9,27,158,R
103,255,236,Y
212,125,45,B
229,233,229,W
68,115,255,O
103,191,85,G
10,27,159,R
100,255,236,Y
211,125,44,B
230,233,230,W
67,116,255,O
103,192,83,G
10,27,158,R
102,255,236,Y
212,126,46,B
229,233,229,W
68,115,255,O
103,192,84,G
10,27,159,R
101,255,235,Y
211,126,45,B
230,234,229,W
68,116,255,O
103,192,84,G
12,26,159,R
102,255,235,Y
212,126,45,B
229,233,229,W
67,115,255,O
102,192,84,G
10,27,158,R
101,255,236,Y
211,125,45,B
230,233,229,W
69,115,255,O
104,192,84,G
12,26,159,R
100,255,236,Y
213,125,46,B
230,233,229,W
69,115,255,O
104,192,84,G
9,28,157,R
102,255,236,Y
212,125,45,B
229,233,229,W
66,116,255,O
104,192,85,G
11,27,159,R
102,255,236,Y
212,126,44,B
